freeze_index,host_timestamp_iso,frame_idx,table_start_x_m,table_start_y_m,table_start_z_m,table_end_x_m,table_end_y_m,table_end_z_m
1,2026-07-08T16:57:35.026,56,0.0008621924,-0.15266892,0.08269295,0.005627439,-0.13216111,0.07782723
2,2026-07-08T16:57:35.848,65,-0.035603266,-0.16149698,0.07632608,-0.02300405,-0.15017357,0.07384001
3,2026-07-08T16:57:36.776,77,-0.08594324,-0.16782245,0.06733556,-0.07221023,-0.16651925,0.06814758
4,2026-07-08T16:57:37.729,91,-0.032668967,-0.17260267,0.05978954,-0.021967556,-0.16383626,0.060970914
5,2026-07-08T16:57:38.524,105,0.0015726282,-0.18236902,0.05934373,0.0037047258,-0.1720712,0.06216161
6,2026-07-08T16:57:39.725,123,0.004834641,-0.15866956,0.03953394,0.0054741036,-0.13697115,0.050866455
7,2026-07-08T16:57:40.910,141,0.039542634,-0.15366055,0.044481855,0.031444054,-0.13730939,0.052982204
8,2026-07-08T16:57:41.947,156,0.05872778,-0.14301485,0.04307312,0.04140569,-0.12999777,0.051644582
9,2026-07-08T16:57:43.090,173,0.09793697,-0.11925084,0.040865038,0.078592844,-0.121087596,0.04739213
10,2026-07-08T16:57:44.370,189,0.1229332,-0.052950334,0.057295606,0.10412475,-0.07110165,0.061335247
11,2026-07-08T16:57:45.470,202,0.13691157,-0.0066678366,0.06494561,0.13027878,-0.031029135,0.06805336
12,2026-07-08T16:57:46.901,224,0.19173944,0.078814805,0.08313538,0.19562128,0.06332009,0.08887325
13,2026-07-08T16:57:48.612,254,0.16616476,0.0365051,0.2288621,0.16568378,0.023635842,0.23213762
14,2026-07-08T16:57:49.514,270,0.09288464,0.002009786,0.19298305,0.0929022,-0.017879115,0.19314122
15,2026-07-08T16:57:52.246,314,0.090395175,0.20588836,0.13205734,0.101749614,0.1999533,0.13584982
16,2026-07-08T16:57:53.355,332,0.05633236,0.23388757,0.101206295,0.06681102,0.22647609,0.10492099
17,2026-07-08T16:57:54.477,349,0.031774845,0.2150018,0.079033434,0.043184727,0.20841603,0.08126357
18,2026-07-08T16:57:55.527,367,0.004810288,0.17939554,0.058405865,0.016586065,0.17339225,0.060361095
19,2026-07-08T16:57:56.594,386,-0.0062546036,0.16950448,0.051984135,0.006401774,0.16701443,0.055469394
20,2026-07-08T16:58:00.054,449,0.015545026,0.12561046,0.0841891,0.02353098,0.1362611,0.08533771
21,2026-07-08T16:58:01.475,472,0.014815287,0.12157183,0.07931958,0.022589922,0.13234176,0.08076693
22,2026-07-08T16:58:02.526,491,0.00014419679,0.14133093,0.071783535,0.008620757,0.15141898,0.073999435
23,2026-07-08T16:58:03.425,505,-0.0150635345,0.15540493,0.07275981,-0.0061982996,0.16522019,0.07465708
24,2026-07-08T16:58:05.535,542,0.017719852,0.11535304,0.082670145,0.025157552,0.12644641,0.082283966
25,2026-07-08T16:58:06.831,560,0.029261371,0.12665914,0.07453595,0.03764298,0.13701685,0.07553488
26,2026-07-08T16:58:07.709,575,0.0038757846,0.11784369,0.068244144,0.011957885,0.12840804,0.06951113
27,2026-07-08T16:58:11.344,639,-0.023688558,0.14591663,0.16227867,-0.012673026,0.14001165,0.16700314
28,2026-07-08T16:58:12.292,655,-0.004501813,0.12971017,0.15631172,0.0071003577,0.12414793,0.15991485
29,2026-07-08T16:58:12.671,662,0.017942416,0.13564433,0.14475244,0.029380081,0.13004927,0.14880294
30,2026-07-08T16:58:13.407,672,0.03452782,0.11122192,0.14559545,0.045835245,0.10446509,0.14783567
31,2026-07-08T16:58:13.835,680,0.07890958,0.11663435,0.17307095,0.08964266,0.10868897,0.17352185
32,2026-07-08T16:58:14.324,688,0.08932071,0.10608563,0.16448328,0.09942443,0.09740928,0.16340303
