freeze_index,host_timestamp_iso,frame_idx,sensor_table_x_m,sensor_table_y_m,sensor_table_z_m,mag_table_x_uT,mag_table_y_uT,mag_table_z_uT
1,2026-07-09T16:32:18.617,89,0.04458451271057129,-0.04621720314025879,0.05011804774403572,-0.0013613849878311157,-0.009423743933439255,0.0036222822964191437
2,2026-07-09T16:32:18.958,96,0.03827022388577461,-0.0467069149017334,0.04929725080728531,-0.0025194697082042694,-0.009413391351699829,0.004443362355232239
3,2026-07-09T16:32:19.345,104,0.01584203541278839,-0.04598431661725044,0.0423344224691391,-0.0006443103775382042,-0.011709187179803848,0.0042199380695819855
4,2026-07-09T16:32:19.709,112,-0.0014348654076457024,-0.03485094755887985,0.041271377354860306,-0.002676253207027912,-0.009586330503225327,0.0024016834795475006
5,2026-07-09T16:32:20.067,119,-0.009361280128359795,-0.010411657392978668,0.04133262485265732,-0.0014935750514268875,-0.010150719434022903,0.0023843757808208466
6,2026-07-09T16:32:20.420,126,-0.011282560415565968,0.013405184261500835,0.04160409793257713,-0.0027805836871266365,-0.006993211805820465,0.004183776676654816
7,2026-07-09T16:32:20.787,134,-0.009935478679835796,0.04670978710055351,0.042221374809741974,-0.002144213765859604,-0.006896626204252243,0.005738697946071625
8,2026-07-09T16:32:21.134,142,-0.01369995903223753,0.080320343375206,0.04189109057188034,-0.003345775417983532,-0.007482707500457764,0.004864007234573364
9,2026-07-09T16:32:21.492,150,-0.022964417934417725,0.10926564782857895,0.04184090346097946,-0.001369500532746315,-0.009913071990013123,0.0034815408289432526
10,2026-07-09T16:32:21.855,158,-0.022176386788487434,0.14765693247318268,0.04122088477015495,-0.003517692908644676,-0.009281143546104431,0.0037230513989925385
11,2026-07-09T16:32:22.201,165,-0.03463277593255043,0.1864423006772995,0.039763372391462326,-0.0015727393329143524,-0.010650038719177246,0.004171337932348251
12,2026-07-09T16:32:22.543,173,-0.07548965513706207,0.21677345037460327,0.03894547000527382,-0.001723065972328186,-0.00812000036239624,0.004125349223613739
13,2026-07-09T16:32:22.898,180,-0.11857935041189194,0.18989893794059753,0.038717810064554214,-0.0009484961628913879,-0.008737295866012573,0.0031514689326286316
14,2026-07-09T16:32:23.284,188,-0.13586467504501343,0.12307244539260864,0.03868131339550018,-0.0006150305271148682,-0.010421879589557648,0.003915905952453613
15,2026-07-09T16:32:23.635,195,-0.1175069808959961,0.06562908738851547,0.040161535143852234,-0.0008338391780853271,-0.009569525718688965,0.0038071759045124054
16,2026-07-09T16:32:23.981,202,-0.08998413383960724,0.0007584824925288558,0.038225360214710236,-0.0009326934814453125,-0.009503697394393384,0.0036418363451957703
17,2026-07-09T16:32:24.336,210,-0.05527826398611069,-0.027143413200974464,0.05325806885957718,-0.0015549808740615845,-0.011361518874764442,0.0022145286202430725
18,2026-07-09T16:32:24.695,218,-0.03052045963704586,-0.06611750274896622,0.04201360046863556,-0.0005937274545431137,-0.009670980274677277,0.0030635297298431396
19,2026-07-09T16:32:25.091,226,0.006402161903679371,-0.09854556620121002,0.04170980304479599,-0.001678335014730692,-0.009304754436016083,0.0034679360687732697
20,2026-07-09T16:32:25.488,234,0.03553541749715805,-0.12379637360572815,0.044093187898397446,-0.0003842376172542572,8.83638858795166e-05,0.00028550252318382263
21,2026-07-09T16:32:25.861,242,0.07326269149780273,-0.1479700207710266,0.04351362958550453,-0.004035085439682007,-0.00981263816356659,0.004557851701974869
22,2026-07-09T16:32:26.219,250,0.12260768562555313,-0.17332042753696442,0.038240399211645126,-0.0019756704568862915,-0.010838806629180908,0.0039478689432144165
23,2026-07-09T16:32:26.559,258,0.18396905064582825,-0.1907314509153366,0.03594866022467613,-0.0029396116733551025,-0.008261322975158691,0.00541841983795166
24,2026-07-09T16:32:26.936,267,0.21237492561340332,-0.18314558267593384,0.03503717854619026,-0.002919822931289673,-0.0057508498430252075,0.0028824582695961
25,2026-07-09T16:32:27.324,276,0.224405437707901,-0.17919489741325378,0.02552616596221924,-0.0029585808515548706,-0.009088993072509766,0.005261553451418877
26,2026-07-09T16:32:27.684,284,0.22102461755275726,-0.15946781635284424,0.02287781611084938,-0.003473326563835144,-0.009483128786087036,0.004625661298632622
27,2026-07-09T16:32:28.051,292,0.19196437299251556,-0.1231367215514183,0.03611293062567711,-0.0018868595361709595,-0.009886287152767181,0.003058977425098419
28,2026-07-09T16:32:28.413,300,0.1351330280303955,-0.10650558769702911,0.04074397310614586,-0.003512948751449585,-0.011158891022205353,0.00439433753490448
29,2026-07-09T16:32:28.792,308,0.08687826246023178,-0.0972663015127182,0.04128282889723778,-0.002267204225063324,-0.007367841899394989,0.0036438778042793274
30,2026-07-09T16:32:29.152,315,0.023425864055752754,-0.09337746351957321,0.039648037403821945,-0.0021824724972248077,-0.009411156177520752,0.00303027406334877
31,2026-07-09T16:32:29.494,322,-0.013020752929151058,-0.09558279812335968,0.03828044235706329,-0.0009503839537501335,-0.010897628962993622,0.0038133300840854645
32,2026-07-09T16:32:29.852,330,-0.0725267082452774,-0.10512072592973709,0.03709391504526138,-0.000417172908782959,-0.01012556254863739,0.004285015165805817
33,2026-07-09T16:32:30.223,337,-0.1118859127163887,-0.1136859655380249,0.035983942449092865,-0.0013707876205444336,-0.009363308548927307,0.0024961233139038086
34,2026-07-09T16:32:30.594,345,-0.15567171573638916,-0.1507355123758316,0.034908272325992584,-0.0001328587532043457,-0.008946225047111511,0.00392436608672142
35,2026-07-09T16:32:30.941,352,-0.16092288494110107,-0.19101962447166443,0.03612709417939186,0.0002469271421432495,-0.010568171739578247,0.0036188848316669464
36,2026-07-09T16:32:31.287,359,-0.1424971967935562,-0.23144957423210144,0.035409003496170044,0.0017360597848892212,-0.00970672070980072,0.0011110380291938782
37,2026-07-09T16:32:31.665,367,-0.12082038074731827,-0.2642177641391754,0.03453074023127556,0.0005799457430839539,-0.01174461841583252,0.004055354744195938
38,2026-07-09T16:32:32.015,373,-0.0876251682639122,-0.275311142206192,0.03430667519569397,0.0003315061330795288,-0.00968816876411438,0.004061799496412277
39,2026-07-09T16:32:32.348,380,-0.06105489283800125,-0.244117870926857,0.03643910959362984,-0.0008836910128593445,-0.010862931609153748,0.0024743638932704926
40,2026-07-09T16:32:32.693,388,-0.037428118288517,-0.21461337804794312,0.037159960716962814,-0.00030819326639175415,-0.008884549140930176,0.004421301186084747
41,2026-07-09T16:32:33.059,396,-0.024859553202986717,-0.2287844866514206,0.03759496659040451,0.0007325932383537292,-0.009462565183639526,0.004222474992275238
42,2026-07-09T16:32:33.439,404,0.0033904460724443197,-0.2311636507511139,0.03751080110669136,-0.0003870348446071148,-0.010228961706161499,0.0035553276538848877
43,2026-07-09T16:32:33.811,412,0.044349104166030884,-0.20284156501293182,0.03864777088165283,-0.0006387755274772644,-0.010320872068405151,0.003519125282764435
44,2026-07-09T16:32:34.160,420,0.08291778713464737,-0.19277016818523407,0.03820186108350754,-0.0011796727776527405,-0.010059446096420288,0.0037512965500354767
45,2026-07-09T16:32:34.521,428,0.12733639776706696,-0.1825399249792099,0.03739877790212631,-0.0018177628517150879,-0.010701671242713928,0.003707870841026306
46,2026-07-09T16:32:34.868,436,0.13734547793865204,-0.1751340925693512,0.03737735003232956,-0.0015155822038650513,-0.009659454226493835,0.004754047840833664
47,2026-07-09T16:32:35.234,444,0.1484607458114624,-0.19057458639144897,0.03430401161313057,-0.00455687940120697,-0.008145451545715332,0.005508143454790115
48,2026-07-09T16:32:35.567,452,0.13136786222457886,-0.2425605207681656,0.029956132173538208,-0.0038377195596694946,-0.008031204342842102,0.0038616247475147247
49,2026-07-09T16:32:35.924,459,0.11857280135154724,-0.24768270552158356,0.03224194794893265,-0.001851797103881836,-0.009549275040626526,0.0036943219602108
50,2026-07-09T16:32:36.255,466,0.16664274036884308,-0.21795731782913208,0.03449270501732826,-0.002543628215789795,-0.009731635451316833,0.004433196038007736
51,2026-07-09T16:32:36.639,474,0.09479273110628128,-0.23658841848373413,0.030085988342761993,-0.0015391930937767029,-0.01069776713848114,0.003838691860437393
52,2026-07-09T16:32:37.010,482,0.057673532515764236,-0.19444306194782257,0.038551270961761475,-0.001911163330078125,-0.009782761335372925,0.0028153881430625916
53,2026-07-09T16:32:37.381,490,0.104206882417202,-0.13346846401691437,0.04531104862689972,-0.002398446202278137,-0.010205626487731934,0.004594400525093079
54,2026-07-09T16:32:37.748,498,0.10238552838563919,-0.07280277460813522,0.04153227433562279,-0.008483506739139557,-0.0056658461689949036,0.0047671012580394745
55,2026-07-09T16:32:38.085,505,0.11732428520917892,-0.06299525499343872,0.04880262166261673,-0.010994493961334229,0.00026119500398635864,0.0026733167469501495
56,2026-07-09T16:32:38.454,513,0.12186844646930695,-0.043384794145822525,0.04660603776574135,-0.006765879690647125,0.00392475351691246,0.0037881992757320404
57,2026-07-09T16:32:38.800,521,0.12147791683673859,-0.0436864048242569,0.04826704040169716,-0.009495630860328674,0.0024474114179611206,0.0032209381461143494
