freeze_index,host_timestamp_iso,frame_idx,sensor_table_x_m,sensor_table_y_m,sensor_table_z_m,mag_table_x_uT,mag_table_y_uT,mag_table_z_uT
1,2026-07-15T17:16:06.127,707,-0.073107645,0.06362295,0.08007417,-726.8856114018117,-1059.102941118466,400.1337502026401
2,2026-07-15T17:16:06.491,718,-0.07449464,0.06435139,0.0822592,-0.3364777639669561,2.6778721331772415,4.995105960108211
3,2026-07-15T17:16:06.851,728,-0.076511584,0.06788044,0.09129142,-298.9587893525395,-780.8904064830599,158.89089127947383
4,2026-07-15T17:16:07.213,738,-0.07349801,0.08249444,0.10611304,-108.15887504119242,-629.6880251186149,59.22118516242682
5,2026-07-15T17:16:07.567,748,-0.07979424,0.08602774,0.096466355,-243.81288063747337,-493.75626046935236,32.74957225031003
6,2026-07-15T17:16:07.929,758,-0.07463082,0.08446472,0.0834649,-0.7519763064305738,-0.6816426287874107,-0.03866472794188354
7,2026-07-15T17:16:08.263,768,-0.06763444,0.06542232,0.07747216,-748.2871105444963,-981.2961800171639,131.09808265833098
8,2026-07-15T17:16:08.612,779,-0.055505954,0.04569262,0.06925062,-1594.6120573511282,-2652.682112030586,739.0043971881023
9,2026-07-15T17:16:08.957,789,-0.041798756,0.03569939,0.061825182,-2287.0237587601932,-4489.24344990015,717.3409749867855
10,2026-07-15T17:16:09.307,799,-0.027135111,0.03009166,0.059055388,-6114.626813938912,-12386.270193334423,-1647.6743834794852
11,2026-07-15T17:16:09.664,810,-0.007917229,0.033175275,0.053811293,-4812.339899773812,-11563.490807886701,-12707.564775556517
12,2026-07-15T17:16:10.033,821,-0.0016646805,0.028499765,0.04707183,-5962.611118239272,-6332.662335994069,-20859.5823338084
13,2026-07-15T17:16:10.543,835,-0.013818294,0.042716127,0.085981205,715.7870334360921,-2425.4608563467386,-1196.3255439446673
14,2026-07-15T17:16:11.267,857,-0.062159304,0.06938386,0.14432847,276.6736710823763,-498.0557289915276,-83.09434727175615
15,2026-07-15T17:16:11.639,866,-0.06658989,0.07036453,0.12399078,95.68763256602168,-650.351231094842,-30.408110551853394
16,2026-07-15T17:16:12.004,876,-0.05186658,0.07661046,0.096883625,-376.81529516960535,-1016.8651807014609,-240.90026484673794
17,2026-07-15T17:16:12.374,887,-0.053716123,0.07318919,0.08194903,-815.1913109522123,-1139.7778834881074,-352.74920674522195
18,2026-07-15T17:16:12.720,897,-0.058878213,0.06975247,0.08291926,-0.796666872027536,-0.6453487515601747,-0.03077147824830258
19,2026-07-15T17:16:13.064,907,-0.06737109,0.056127016,0.101092145,-314.83910346188503,-1324.4187419300329,29.32720504559618
20,2026-07-15T17:16:13.407,917,-0.052080203,0.05422757,0.09031341,-412.2876301431173,-1726.8463405691004,-106.89656726984458
21,2026-07-15T17:16:13.747,927,-0.027718635,0.04933292,0.07704575,-1325.8154680260654,-3659.5598645096716,-2194.8912143458915
22,2026-07-15T17:16:14.101,937,-0.020426549,0.038869254,0.087852456,1443.1535106891122,-2854.9044178840677,-447.23171771659196
23,2026-07-15T17:16:14.462,948,-0.05239437,0.029193865,0.10553046,1993.9362134392554,-92.87159057483562,942.2576581804096
