host_timestamp_iso,host_time_monotonic_s,frame_idx,raw_serial_line,serial_time_us,raw_mag_x_uT,raw_mag_y_uT,raw_mag_z_uT,raw_acc_x,raw_acc_y,raw_acc_z,raw_gyr_x,raw_gyr_y,raw_gyr_z,mag_board_start_x_m,mag_board_start_y_m,mag_board_start_z_m,mag_board_end_x_m,mag_board_end_y_m,mag_board_end_z_m,mag_table_start_x_m,mag_table_start_y_m,mag_table_start_z_m,mag_table_end_x_m,mag_table_end_y_m,mag_table_end_z_m,table_visible,board88_visible
2026-07-08T16:52:33.538,2191359.937,198,"12252703,80.00,7.50,202.50,-0.01,-0.04,-1.03,3.60,4.21,-0.12",12252703.0,80.0,7.5,202.5,-0.01,-0.04,-1.03,3.6,4.21,-0.12,0.0,-0.03,-0.055,0.0003749999999999997,-0.019874999999999997,-0.051000000000000004,0.10238651,-0.17040129,0.31398952,0.10161551,-0.18099707,0.3115831,1,1
2026-07-08T16:52:33.626,2191360.015,199,"12469645,85.00,7.50,205.00,-0.01,-0.04,-1.03,3.66,4.33,0.00",12469645.0,85.0,7.5,205.0,-0.01,-0.04,-1.03,3.66,4.33,0.0,0.0,-0.03,-0.055,0.00037499999999999963,-0.019749999999999997,-0.05075,0.10600488,-0.16411626,0.31031087,0.105068505,-0.17497405,0.3081902,1,1
2026-07-08T16:52:33.720,2191360.109,200,"12685563,80.00,15.00,235.00,-0.01,-0.04,-1.02,3.72,4.33,-0.12",12685563.0,80.0,15.0,235.0,-0.01,-0.04,-1.02,3.72,4.33,-0.12,0.0,-0.03,-0.055,0.0007499999999999995,-0.01825,-0.051000000000000004,0.11567774,-0.15029243,0.29887453,0.114353284,-0.16242436,0.29648972,1,1
2026-07-08T16:52:33.812,2191360.203,201,"12901526,90.00,10.00,182.50,-0.01,-0.04,-1.02,3.72,3.97,-0.31",12901526.0,90.0,10.0,182.5,-0.01,-0.04,-1.02,3.72,3.97,-0.31,0.0,-0.03,-0.055,0.0004999999999999998,-0.020874999999999998,-0.0505,0.12441807,-0.13646612,0.28323284,0.1230698,-0.14656293,0.28327492,1,1
2026-07-08T16:52:33.881,2191360.265,202,"13118580,37.50,42.50,185.00,-0.02,-0.04,-1.02,3.72,4.15,-0.18",13118580.0,37.5,42.5,185.0,-0.02,-0.04,-1.02,3.72,4.15,-0.18,0.0,-0.03,-0.055,0.0021249999999999997,-0.020749999999999998,-0.053125,0.12553687,-0.13405994,0.28062356,0.12261232,-0.14300443,0.27837935,1,1
2026-07-08T16:52:33.934,2191360.328,203,"13335535,52.50,27.50,222.50,-0.02,-0.04,-1.02,3.78,4.27,-0.12",13335535.0,52.5,27.5,222.5,-0.02,-0.04,-1.02,3.78,4.27,-0.12,0.0,-0.03,-0.055,0.0013749999999999997,-0.018874999999999996,-0.052375,0.12664445,-0.1315273,0.27950174,0.12421733,-0.14255856,0.27727297,1,1
2026-07-08T16:52:33.990,2191360.375,204,"13551522,85.00,25.00,165.00,-0.02,-0.04,-1.02,3.78,4.27,-0.12",13551522.0,85.0,25.0,165.0,-0.02,-0.04,-1.02,3.78,4.27,-0.12,0.0,-0.03,-0.055,0.0012499999999999998,-0.02175,-0.05075,0.12178165,-0.12553869,0.27407587,0.119711265,-0.13465393,0.27463573,1,1
2026-07-08T16:52:34.042,2191360.437,205,"13769591,90.00,5.00,182.50,-0.02,-0.04,-1.02,3.78,4.27,-0.06",13769591.0,90.0,5.0,182.5,-0.02,-0.04,-1.02,3.78,4.27,-0.06,0.0,-0.03,-0.055,0.00024999999999999973,-0.020874999999999998,-0.0505,0.12053058,-0.12574732,0.27510178,0.11933869,-0.13584729,0.27548698,1,1
2026-07-08T16:52:34.097,2191360.484,206,"13985595,55.00,7.50,212.50,-0.02,-0.04,-1.02,3.72,4.21,-0.06",13985595.0,55.0,7.5,212.5,-0.02,-0.04,-1.02,3.72,4.21,-0.06,0.0,-0.03,-0.055,0.0003749999999999995,-0.019374999999999996,-0.05225,0.11539404,-0.12511888,0.2748813,0.1142435,-0.13588028,0.27302054,1,1
2026-07-08T16:52:34.153,2191360.546,207,"14201566,100.00,-7.50,235.00,-0.02,-0.04,-1.01,3.91,4.27,-0.18",14201566.0,100.0,-7.5,235.0,-0.02,-0.04,-1.01,3.91,4.27,-0.18,0.0,-0.03,-0.055,-0.0003750000000000004,-0.01825,-0.05,0.112982124,-0.12594575,0.27233768,0.11255134,-0.13870922,0.27200386,1,1
