freeze_index,host_timestamp_iso,frame_idx,sensor_table_x_m,sensor_table_y_m,sensor_table_z_m,mag_table_x_uT,mag_table_y_uT,mag_table_z_uT
1,2026-07-16T14:36:45.877,231,-0.079653345,0.033563428,0.09831313,-400.0018692643106,-203.36775951475306,122.35730045651991
2,2026-07-16T14:36:46.247,239,-0.06909729,0.039291494,0.09748599,-426.03370716818984,-332.5137203905612,300.6429046369743
3,2026-07-16T14:36:46.624,247,-0.055574585,0.031762134,0.07509124,-598.0705961866071,-761.1852921254921,197.31576984322808
4,2026-07-16T14:36:46.960,254,-0.043446776,0.04108733,0.08022415,-880.2790917139621,-688.4278545208144,551.1472668997908
5,2026-07-16T14:36:47.340,261,-0.04589238,0.039305065,0.07081093,-1295.702351757235,-625.0069039378576,1309.4499935777578
6,2026-07-16T14:36:47.701,269,-0.045279652,0.038348887,0.073940255,-746.9274095174984,-824.485852418755,420.66616701702696
7,2026-07-16T14:36:48.039,276,-0.0550232,0.027434027,0.10144425,-386.50143355112846,-636.7596224817403,-59.29860908853193
8,2026-07-16T14:36:48.684,290,-0.03596753,0.033038348,0.052986927,-3482.831362332278,-1177.3299252753743,3020.0763564197796
9,2026-07-16T14:36:49.048,297,-0.020088265,0.04792582,0.033720866,-4786.582581967328,6359.182701104389,4439.521799696636
10,2026-07-16T14:36:49.418,305,-0.014036775,0.05493916,0.03225654,-4986.461752291177,6043.394993588967,4035.6080575795554
11,2026-07-16T14:36:49.795,313,-0.023110662,0.045686174,0.030811202,-7938.683215326996,4268.400192402059,4419.714340790306
12,2026-07-16T14:36:50.132,320,-0.032164745,0.026423024,0.030165939,-7455.723202513543,-3208.4364415509813,4280.171097985322
13,2026-07-16T14:36:50.494,327,-0.03989552,0.015354601,0.030802485,-3365.7522114524345,-4808.695726171948,2425.7874936190647
14,2026-07-16T14:36:50.843,334,-0.04319651,0.010585192,0.033312816,-1655.1356702938706,-4942.520533773178,1443.4110419943977
15,2026-07-16T14:36:51.191,341,-0.043995976,0.010615739,0.034240264,-2252.4760438905355,-4451.813839558328,1361.0355284180457
16,2026-07-16T14:36:51.568,348,-0.0466549,0.005465677,0.02281767,-684.987528229728,-4816.92025013049,1165.097695497064
17,2026-07-16T14:36:51.948,355,-0.046973366,-0.017379954,0.025434183,5473.364059273613,-3097.1044311182845,-204.29456037639108
18,2026-07-16T14:36:52.312,362,-0.036771093,-0.03499453,0.020901257,8134.421460397132,807.4010828480797,-332.4770609325567
19,2026-07-16T14:36:52.654,369,-0.037374362,-0.03472311,0.024895102,7650.901908316621,886.017042654839,-773.837056131487
20,2026-07-16T14:36:53.037,376,-0.02458582,-0.045752894,0.0249,7787.050691554796,6455.322292680423,-1556.5966480688367
21,2026-07-16T14:36:53.372,383,-0.017727228,-0.050826218,0.018847026,7329.8980358531735,6661.541726752678,-1990.4821292161214
22,2026-07-16T14:36:53.751,391,-0.023014767,-0.047488283,0.029946912,5402.471820944173,6608.3995975707285,-2702.838181011066
23,2026-07-16T14:36:54.092,398,-0.0065516904,-0.056252595,0.030179625,957.0001766569111,7560.3520432097885,-2537.160596929608
24,2026-07-16T14:36:54.443,405,0.010742697,-0.05704844,0.027600199,-1827.5452506086936,7874.480957134095,-1957.8024702993132
25,2026-07-16T14:36:54.807,412,0.010929007,-0.055220086,0.030639213,-2402.7250270461045,7393.701856612896,-2414.1634782933247
26,2026-07-16T14:36:55.152,419,0.003179288,-0.050606407,0.025154993,500.0411798643022,14107.39609879169,-1547.27676265011
27,2026-07-16T14:36:55.528,425,-0.010462757,-0.043062788,0.023240771,6299.241916036433,19925.013897174933,-2438.163495468534
28,2026-07-16T14:36:55.892,431,-0.010409137,-0.041564845,0.023643408,4907.841575829962,20960.24267836609,-1230.9571197061803
29,2026-07-16T14:36:56.227,437,-0.011014856,-0.040793754,0.023313101,6184.5292964197115,23226.649558977282,-725.8642408788319
30,2026-07-16T14:36:56.573,444,-0.01778241,-0.036615197,0.027145568,13913.730703704712,22232.247324939766,-7657.425434667541
31,2026-07-16T14:36:56.921,451,-0.008433163,-0.03565929,0.036432523,1856.3226558497618,20480.11917858718,-14121.21996777347
32,2026-07-16T14:36:57.291,458,0.009307043,-0.03861983,0.029582994,-8828.235900831627,18998.332634496775,-6101.824664662372
33,2026-07-16T14:36:57.640,465,0.0062719295,-0.04046684,0.02294483,-5522.853517397292,23144.41665261945,-1660.552795102874
34,2026-07-16T14:36:57.987,472,-0.0015700465,-0.04023539,0.024627512,5873.737287078889,26286.957400462794,-6306.58383426667
35,2026-07-16T14:36:58.340,479,-0.020901853,-0.03733378,0.029759677,12855.616395064586,13262.430926926572,-7353.248636585622
36,2026-07-16T14:36:58.700,486,-0.02667225,-0.030595155,0.046275474,6881.620844185218,1161.4852093644008,-8527.863692936426
37,2026-07-16T14:36:59.050,493,-0.005547766,-0.028988227,0.04982276,1715.7207197192236,1606.6349757787627,-10953.888931175565
38,2026-07-16T14:36:59.424,500,0.014843855,-0.037706308,0.047619913,-5397.590688671852,5543.508948626445,-7086.254620323866
39,2026-07-16T14:36:59.772,507,0.01845221,-0.04314646,0.029677588,-7492.974564637029,11334.729576838892,-4007.585787433145
40,2026-07-16T14:37:00.116,514,0.009510042,-0.045077406,0.023351988,-3315.784031671188,16756.899278770063,-1896.8715208125823
41,2026-07-16T14:37:00.468,521,-0.007576496,-0.042587306,0.025155028,7680.2594931312315,18217.34771388142,-4295.453281052759
42,2026-07-16T14:37:00.809,528,-0.026219103,-0.035062477,0.045076348,4371.395032847422,1594.5727015085542,-7128.9322213358555
43,2026-07-16T14:37:01.151,535,-2.5341882e-05,-0.03565276,0.06390764,-786.5114984360594,1438.207065523935,-6337.06784321463
44,2026-07-16T14:37:01.517,542,0.019664649,-0.046383325,0.042274956,-4349.255029793371,9564.353535766295,-3976.4364861885983
45,2026-07-16T14:37:01.884,549,-0.023361716,-0.04188087,0.034906797,9011.00260420012,7767.509840212368,-5233.597395606848
46,2026-07-16T14:37:02.253,556,-0.035298176,-0.030513285,0.061289556,2070.2225690268906,-904.4575294665163,-2685.7036027981626
47,2026-07-16T14:37:02.630,563,-0.017873373,-0.031181613,0.09717206,407.0819834146121,-682.0242192908012,-1795.1416303679214
48,2026-07-16T14:37:02.970,570,0.008332868,-0.03808457,0.085897855,-897.3052310144503,477.6075351608518,-3344.6099346189344
49,2026-07-16T14:37:03.323,577,0.021519544,-0.04909712,0.051124103,-2784.054166142455,5240.719547428744,-4518.856439983809
50,2026-07-16T14:37:03.686,584,0.0009973431,-0.05421355,0.028278915,45.27932994744308,9859.165530891236,-1760.1345308713371
51,2026-07-16T14:37:04.074,591,-0.039511282,-0.047546584,0.035138264,4818.930525633823,2301.1421735530766,-1597.1038745836074
52,2026-07-16T14:37:04.428,598,-0.0494007,-0.040617604,0.04806007,2629.3153934913703,-343.18560411530564,-1524.339759593419
53,2026-07-16T14:37:04.760,604,-0.061570376,-0.028380392,0.08750053,851.1040517583102,-778.5300204638486,-908.4742155488769
54,2026-07-16T14:37:05.122,611,-0.027671894,-0.031872455,0.10952843,191.61352825615612,-437.2419170452518,-1529.8235230796463
55,2026-07-16T14:37:05.477,618,0.0075288313,-0.0555572,0.06699155,-142.06902207124992,2223.4082859161726,-3470.1985875576383
56,2026-07-16T14:37:05.845,625,-0.0031913787,-0.05374065,0.045186423,1313.2107647003927,6497.2264785998605,-4580.957931836509
57,2026-07-16T14:37:06.210,632,-0.0035119792,-0.054120414,0.032253955,2895.718215644325,10189.161844038566,-2609.7084476190553
58,2026-07-16T14:37:06.564,639,0.00014928415,-0.04972773,0.022524552,-701.7157334579348,10893.07321859266,-1762.3176171726016
59,2026-07-16T14:37:06.940,646,0.0055107367,-0.054723058,0.02671198,-1481.8615550400643,9662.408451280528,-1839.342410296905
60,2026-07-16T14:37:07.302,653,0.0014937728,-0.058969337,0.028210862,-797.4200427503152,7633.358839749324,-1334.266314886527
